Time,Iteration,#Processors
0.00674254,21,15
0.00490257,22,15
0.00695144,23,15
0.00887467,24,15
0.00662783,25,15
0.00685165,26,15
0.00608329,27,15
0.00622748,28,15
0.00617839,29,15
0.00613546,30,15
0.00766440,31,15
0.00725371,32,15
0.00611365,33,15
0.00613515,34,15
0.00659240,35,15
0.00641241,36,15
0.00769920,37,15
0.00671991,38,15
0.00646964,39,15
0.00687500,40,15
0.00640875,41,15
0.00664558,42,15
0.00666642,43,15
0.00655771,44,15
0.00572611,45,15
0.00805960,46,15
0.00643525,47,15
0.00521554,48,15
0.00702914,49,15
0.00557888,50,15
0.00728210,1,16
0.00636362,2,16
0.00558143,3,16
0.00583098,4,16
0.00568830,5,16
0.00687249,6,16
0.00690915,7,16
0.00735338,8,16
0.00584755,9,16
0.00711637,10,16
0.00544539,11,16
0.00740210,12,16
0.00546948,13,16
0.00573960,14,16
0.00653651,15,16
0.00512062,16,16
0.00573734,17,16
0.00633061,18,16
0.00601923,19,16
0.00626161,20,16
0.00660998,21,16
0.00744067,22,16
0.00749961,23,16
0.01274881,24,16
0.00775506,25,16
0.00590796,26,16
0.00783303,27,16
0.00631549,28,16
0.00648296,29,16
0.00627846,30,16
0.00594195,31,16
0.00653842,32,16
0.00674795,33,16
0.00689465,34,16
0.00544150,35,16
0.00636502,36,16
0.00571799,37,16
0.00485658,38,16
0.00608553,39,16
0.00677793,40,16
0.00564974,41,16
0.00491658,42,16
0.00672801,43,16
0.00737253,44,16
0.00608557,45,16
0.00609973,46,16
0.00619130,47,16
0.00711818,48,16
0.00437382,49,16
0.00640230,50,16
0.00860543,1,17
0.00751291,2,17
0.00771250,3,17
0.00812648,4,17
0.00693433,5,17
0.00749356,6,17
0.00897364,7,17
0.00685856,8,17
0.00768654,9,17
0.00748811,10,17
0.00710907,11,17
0.00694995,12,17
0.00747748,13,17
0.00657421,14,17
0.00749979,15,17
0.00773001,16,17
0.00715022,17,17
0.00713892,18,17
0.00753041,19,17
0.00752650,20,17
0.00594724,21,17
0.00758338,22,17
0.00655055,23,17
0.00796321,24,17
0.04051049,25,17
0.00742437,26,17
0.00670003,27,17
0.00741370,28,17
0.00915942,29,17
0.00781490,30,17
0.00656542,31,17
0.00808190,32,17
0.00614802,33,17
0.00727096,34,17
0.00808559,35,17
0.00680989,36,17
0.00759956,37,17
0.00778495,38,17
0.00809644,39,17
0.00791867,40,17
0.00770955,41,17
0.00705987,42,17
0.00637837,43,17
0.00666776,44,17
0.00741514,45,17
0.00742560,46,17
0.00595695,47,17
0.00603830,48,17
0.00723224,49,17
0.00745185,50,17
0.01514519,1,18
0.00706279,2,18
0.00771961,3,18
0.00738774,4,18
0.00749247,5,18
0.00839478,6,18
0.00736269,7,18
0.00725947,8,18
0.00766427,9,18
0.00615992,10,18
0.00716628,11,18
0.00583080,12,18
0.00614461,13,18
0.00721980,14,18
0.00602390,15,18
0.00718560,16,18
0.00806944,17,18
0.00741087,18,18
0.00770878,19,18
0.00986500,20,18
0.00723638,21,18
0.00594031,22,18
0.00753191,23,18
0.00752047,24,18
0.00806589,25,18
0.00904484,26,18
0.01086975,27,18
0.00717473,28,18
0.00642299,29,18
0.00753847,30,18
0.00849250,31,18
0.00715248,32,18
0.00835478,33,18
0.00836149,34,18
0.00801111,35,18
0.00853734,36,18
0.00712762,37,18
0.00800966,38,18
0.00670334,39,18
0.00692385,40,18
0.00764403,41,18
0.00763463,42,18
0.00715269,43,18
0.00902015,44,18
0.00825919,45,18
0.00700570,46,18
0.00681463,47,18
0.00730338,48,18
0.00794909,49,18
0.00793506,50,18
0.01097128,1,19
0.00860183,2,19
0.00730080,3,19
0.00778578,4,19
0.00738399,5,19
0.01357485,6,19
0.00760021,7,19
0.00810487,8,19
0.02030968,9,19
0.00991747,10,19
0.00718418,11,19
0.00818626,12,19
0.00765475,13,19
0.00730690,14,19
0.00709579,15,19
0.00750959,16,19
0.00895216,17,19
0.00758142,18,19
0.00774465,19,19
0.00917309,20,19
0.00747501,21,19
0.00815575,22,19
0.00845139,23,19
0.00751011,24,19
0.00997177,25,19
0.00698509,26,19
0.00648910,27,19
0.00826086,28,19
0.00755810,29,19
0.00815952,30,19
0.00823523,31,19
0.00815948,32,19
0.00723863,33,19
0.00809622,34,19
0.00723413,35,19
0.00738223,36,19
0.00724110,37,19
0.00798218,38,19
0.00877805,39,19
0.00719401,40,19
0.00761018,41,19
0.00733157,42,19
0.01312834,43,19
0.00763425,44,19
0.00763369,45,19
0.00721816,46,19
0.00812476,47,19
0.00811296,48,19
0.02584893,49,19
0.00814143,50,19
0.00825098,1,20
0.00703962,2,20
0.00762892,3,20
0.00793184,4,20
0.00752715,5,20
0.00648444,6,20
0.00757729,7,20
0.00862593,8,20
0.00723631,9,20
0.03967280,10,20
0.00734827,11,20
0.00819519,12,20
0.03754320,13,20
0.01471675,14,20
0.00827307,15,20
0.00824868,16,20
0.00762069,17,20
0.00760955,18,20
0.02658269,19,20
0.00767455,20,20
0.00868589,21,20
0.01877635,22,20
0.04128349,23,20
0.04091920,24,20
0.00802024,25,20
0.00717728,26,20
0.00729146,27,20
0.00740107,28,20
0.00724579,29,20
0.00795355,30,20
0.00777618,31,20
0.00726071,32,20
0.00749729,33,20
0.00723604,34,20
0.00779677,35,20
0.01218371,36,20
0.00754069,37,20
0.00724071,38,20
0.00809410,39,20
0.00984392,40,20
0.00764613,41,20
0.00873253,42,20
0.00833121,43,20
0.00737376,44,20
0.00642322,45,20
0.01909012,46,20
0.00745575,47,20
0.00793695,48,20
0.01627252,49,20
0.02200785,50,20
0.00764280,1,21
0.02565723,2,21
0.02892103,3,21
0.01484579,4,21
0.00737703,5,21
0.00760761,6,21
0.00741761,7,21
0.02875038,8,21
0.01608039,9,21
0.02255616,10,21
0.00859929,11,21
0.01590052,12,21
0.02011862,13,21
0.00774807,14,21
0.00828875,15,21
0.02014437,16,21
0.00846166,17,21
0.00737441,18,21
0.00659178,19,21
0.00915342,20,21
0.00755255,21,21
0.00712112,22,21
0.00746007,23,21
0.00989896,24,21
0.02280893,25,21
0.00817153,26,21
0.00742730,27,21
0.01947601,28,21
0.00842076,29,21
0.00766491,30,21
0.00913124,31,21
0.00836930,32,21
0.02730598,33,21
0.00836239,34,21
0.00763652,35,21
0.01179546,36,21
0.01504761,37,21
0.01864222,38,21
0.01892018,39,21
0.00734763,40,21
0.00895294,41,21
0.02539786,42,21
0.00883762,43,21
0.00767642,44,21
0.02059698,45,21
0.00747027,46,21
0.00734416,47,21
0.01081525,48,21
0.01448086,49,21
0.01204880,50,21
0.00709441,1,22
0.00811466,2,22
0.00806756,3,22
0.00798865,4,22
0.00793722,5,22
0.00869891,6,22
0.00742220,7,22
0.00799629,8,22
0.00645631,9,22
0.00622406,10,22
0.00794843,11,22
0.00742434,12,22
0.00773844,13,22
0.01045682,14,22
0.01502886,15,22
0.00751202,16,22
0.00791360,17,22
0.02833550,18,22
0.01417150,19,22
0.01827458,20,22
0.00747812,21,22
0.00814025,22,22
0.00744260,23,22
0.03015198,24,22
0.00757617,25,22
0.00822773,26,22
0.02338722,27,22
0.03760815,28,22
0.00752887,29,22
0.00862352,30,22
0.01337297,31,22
0.00749730,32,22
0.00764348,33,22
0.00716731,34,22
0.01006508,35,22
0.00677333,36,22
0.04141536,37,22
0.01972502,38,22
0.03094804,39,22
0.00860649,40,22
0.00831870,41,22
0.02316293,42,22
0.01424421,43,22
0.01456601,44,22
0.02048762,45,22
0.03083244,46,22
0.01992076,47,22
0.00786621,48,22
0.00790839,49,22
0.03401364,50,22
0.01901954,1,23
0.00860265,2,23
0.06348220,3,23
0.04783549,4,23
0.00774271,5,23
0.00881892,6,23
0.04189649,7,23
0.05633108,8,23
0.04506210,9,23
0.02374637,10,23
0.00741712,11,23
0.02176299,12,23
0.01974802,13,23
0.03760626,14,23
0.00733338,15,23
0.04898323,16,23
0.05902880,17,23
0.05301030,18,23
0.00786036,19,23
0.00940051,20,23
0.01912945,21,23
0.05044441,22,23
0.03308749,23,23
0.04583283,24,23
0.01855416,25,23
0.03873278,26,23
0.05883397,27,23
0.04798952,28,23
0.03309213,29,23
0.01773737,30,23
0.02178789,31,23
0.02941170,32,23
0.00746288,33,23
0.02157342,34,23
0.00655436,35,23
0.04231955,36,23
